folioproy,paterno,materno,nombre1,calidad,area_estudio,institucion_patrocinante,nota_proyecto,año_concurso,instrumento,nombre_completo
1140353,DE FERRARI,VALENTINI,GIANCARLO,INVEST. RESPONSABLE,biologia 3,Univ. Andres Bello,4.43,2014,REGULAR,Giancarlo De Ferrari Valentini
1140358,TIZNADO,VASQUEZ,WILLIAM,INVEST. RESPONSABLE,quimica 1,Univ. Andres Bello,4.51,2014,REGULAR,William Tiznado Vasquez
1140359,MORALES,VERDEJO,CESAR,COINVESTIGADOR,quimica 1,Univ. Autonoma De Chile,4.137,2014,REGULAR,Cesar Morales Verdejo
1140359,MACLEOD CAREY,CASTRO,DESMOND,COINVESTIGADOR,quimica 1,Univ. Autonoma De Chile,4.137,2014,REGULAR,Desmond Macleod Carey Castro
1140359,CAMACHO,GONZALEZ,JOHANNA,COINVESTIGADOR,quimica 1,Univ. Autonoma De Chile,4.137,2014,REGULAR,Johanna Camacho Gonzalez
1140359,MUÑOZ,CASTRO,ALVARO,INVEST. RESPONSABLE,quimica 1,Univ. Autonoma De Chile,4.137,2014,REGULAR,Alvaro Muñoz Castro
1140360,FIGUEROA,SANDOVAL,BEATRIZ,COINVESTIGADOR,"linguistica,literatu",Univ. Catolica De La Stma. Concepcion,4.023,2014,REGULAR,Beatriz Figueroa Sandoval
1140363,SCHILLING,LARA,CAROLL,COINVESTIGADOR,educacion,Univ. Catolica Del Maule,4.56,2014,REGULAR,Caroll Schilling Lara
1140370,CORTES,LOPEZ,CLAUDIO,COINVESTIGADOR,artes y arquitectura,Univ. De Talca,3.953,2014,REGULAR,Claudio Cortes Lopez
1140384,SILVA,SANCHEZ,JORGE,COINVESTIGADOR,ingenieria 2,Univ. Tecnica Federico Santa Maria,4.615,2014,REGULAR,Jorge Silva Sanchez
1140388,ORELLANA,DINAMARCA,PEDRO,COINVESTIGADOR,fisica teorica y exp,Univ. Tecnica Federico Santa Maria,4.163,2014,REGULAR,Pedro Orellana Dinamarca
1140388,ROSALES,AHUMADA,LUIS,INVEST. RESPONSABLE,fisica teorica y exp,Univ. Tecnica Federico Santa Maria,4.163,2014,REGULAR,Luis Rosales Ahumada
1140389,ZIEGLER,BONICALZI,ANNEMARIE,COINVESTIGADOR,medicina g1,Univ. De Talca,4.29,2014,REGULAR,Annemarie Ziegler Bonicalzi
1140408,FERNANDEZ,BUGLIONI,MATIAS,COINVESTIGADOR,ingenieria 2,Univ. Tecnica Federico Santa Maria,4.093,2014,REGULAR,Matias Fernandez Buglioni
1140408,ASTUDILLO,ROJAS,HERNAN,INVEST. RESPONSABLE,ingenieria 2,Univ. Tecnica Federico Santa Maria,4.093,2014,REGULAR,Hernan Astudillo Rojas
1140412,SAN MARTIN,HERRERA,MARIA,COINVESTIGADOR,medicina g2-g3,Univ. De Chile,4.36,2014,REGULAR,Maria San Martin Herrera
1140412,PONCE,OLMOS,CAROLINA,COINVESTIGADOR,medicina g2-g3,Univ. De Chile,4.36,2014,REGULAR,Carolina Ponce Olmos
1140412,BORQUEZ,VERA,PAMELA,COINVESTIGADOR,medicina g2-g3,Univ. De Chile,4.36,2014,REGULAR,Pamela Borquez Vera
1140412,ROJAS,SOTO,DIEGO,COINVESTIGADOR,medicina g2-g3,Univ. De Chile,4.36,2014,REGULAR,Diego Rojas Soto
1140412,VARGAS,MUNITA,SERGIO,INVEST. RESPONSABLE,medicina g2-g3,Univ. De Chile,4.36,2014,REGULAR,Sergio Vargas Munita
1140417,CONTRERAS,MUÑOZ,HECTOR,COINVESTIGADOR,medicina g1,Univ. De Chile,4.65,2014,REGULAR,Hector Contreras Muñoz
1140417,CASTELLON,VERA,ENRIQUE,INVEST. RESPONSABLE,medicina g1,Univ. De Chile,4.65,2014,REGULAR,Enrique Castellon Vera
1140423,IDIAQUEZ,CABEZAS,JUAN,COINVESTIGADOR,medicina g2-g3,Univ. De Chile,3.99,2014,REGULAR,Juan Idiaquez Cabezas
